Index,Campaign Period Sales,Buy,Historical Sales Volume,Number of Prior Year Transactions,Number of Transactions,Purchase Breadth,Customer_engagement_days,Days_since_last_transaction,Customer_engagement_length,Language_group,Repurchase Method,Last Transaction Channel,Number of Employees,Service Level,Do No Disturb,Email Available,Desk,Executive Chair,Standard Chair,Monitor,Printer,Computer,Insurance,Toner,Office Supplies
0,238.7047619,1,146803.4286,15,15,2,19170,2242,Long-term,English,AUTO RENEW,AUTO RENEW,6-10,Premier,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
1,281.68,1,439984.16,22,22,1,14530,2368,Long-term,English,NOTICE,MAIL,11-50,Premier,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
2,432.8571429,1,970465.7143,19,19,1,21331,4028,Long-term,English,NOTICE,MAIL,6-10,Premier,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
3,0,0,230193.6,17,17,1,13814,2417,Mid-term,English,NOTICE,PHONE,1-5,Standard,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
4,308.4190476,1,182584.0762,16,16,2,15292,3137,Long-term,English,NOTICE,MAIL,6-10,Premier,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
5,0,0,151252.5,6,6,0,12551,2893,Mid-term,English,NOTICE,MAIL,51-100,Premier,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
6,0,0,1377761,21,21,1,12991,2779,Mid-term,Unknown,NOTICE,MAIL,51-100,Premier,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
7,223.44,1,277512.48,18,18,1,14149,3214,Mid-term,English,NOTICE,MAIL,1-5,Premier,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
8,0,0,221457.1429,15,15,1,13631,2077,Mid-term,English,NOTICE,WEB,6-10,Premier,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
9,124.76,1,199366.48,17,17,1,14817,2204,Long-term,English,NOTICE,MAIL,1-5,Standard,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
10,0,0,332935.2693,22,22,2,12170,2143,Mid-term,English,AUTO RENEW,AUTO RENEW,11-50,Premier,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
11,0,0,184006.2857,15,15,1,12445,2114,Mid-term,English,NOTICE,MAIL,6-10,Standard,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
12,110.3333333,1,148950,10,10,2,18167,2056,Long-term,English,NOTICE,MAIL,1-5,Standard,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
13,0,0,255984.48,23,23,1,1747,3037,Short-term,English,NOTICE,MAIL,11-50,Standard,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
14,141.712,1,637704,30,30,2,16842,2135,Long-term,English,NOTICE,BRANCH (POS),6-10,Premier,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
15,0,0,792136.8,21,21,1,11074,2577,Mid-term,English,AUTO RENEW,AUTO RENEW,101-500,Premier,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
16,507.3142857,1,192779.4286,19,19,1,17544,4562,Long-term,English,NOTICE,MAIL,6-10,Premier,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
17,0,0,363121,15,15,1,12916,2975,Mid-term,English,NOTICE,MAIL,1-5,Standard,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
18,0,0,501692.4,22,22,1,2781,3193,Short-term,English,NOTICE,MAIL,1-5,Standard,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
19,0,0,117955.2,18,18,1,15016,1689,Long-term,English,NOTICE,MAIL,1-5,Premier,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
20,0,0,127709.8667,8,8,1,10953,3261,Mid-term,English,NOTICE,MAIL,6-10,Premier,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
21,0,0,452872.3467,11,11,1,11530,3466,Mid-term,English,NOTICE,MAIL,11-50,Standard,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
22,178.4761905,1,517224,21,21,1,18214,2206,Long-term,English,NOTICE,MAIL,6-10,Premier,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
23,0,0,350056,15,15,1,10909,6010,Mid-term,English,NOTICE,MAIL,1-5,Premier,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
24,0,0,29864.7619,4,4,2,13404,3067,Mid-term,English,NOTICE,WEB,6-10,Premier,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
25,0,0,390473.1429,15,15,1,11439,2870,Mid-term,English,NOTICE,MAIL,6-10,Premier,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
26,304.08,1,485007.6,11,11,1,17634,4040,Long-term,English,NOTICE,MAIL,1-5,Standard,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
27,323.3706667,1,548113.28,15,15,1,2291,2200,Short-term,English,AUTO RENEW,MAIL,11-50,Premier,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
28,211.2586667,1,71827.94667,17,17,1,22580,2590,Long-term,English,AUTO RENEW,AUTO RENEW,1-5,Premier,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
29,0,0,112012.5,3,3,0,11881,2403,Mid-term,English,NOTICE,MAIL,6-10,Standard,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
30,0,0,178257.2,10,10,1,10434,2363,Mid-term,English,NOTICE,MAIL,1-5,Premier,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
31,201.6952381,1,298508.9524,20,20,1,18365,2372,Long-term,English,NOTICE,MAIL,6-10,Premier,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
32,0,0,948106.9714,22,22,2,10557,3071,Mid-term,English,NOTICE,MAIL,6-10,Premier,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
33,0,0,953837.7333,14,14,1,11104,3884,Mid-term,English,AUTO RENEW,AUTO RENEW,6-10,Premier,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
34,131.8666667,1,346545.6,18,18,1,19566,2276,Long-term,English,NOTICE,MAIL,1-5,Premier,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
35,0,0,105257.6,16,16,0,11304,2851,Mid-term,Unknown,NOTICE,MAIL,11-50,Premier,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
36,0,0,71875.04762,4,4,1,10984,3268,Mid-term,English,NOTICE,MAIL,6-10,Premier,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
37,0,0,34663.57143,1,1,0,11227,2455,Mid-term,Unknown,NOTICE,MAIL,6-10,Premier,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
38,0,0,312152.9905,19,19,1,12612,2766,Mid-term,English,NOTICE,PHONE,6-10,Premier,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
39,0,0,173610.8,15,15,1,12065,6312,Mid-term,English,NOTICE,MAIL,1-5,Standard,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
40,0,0,334889.2,15,15,1,17360,2211,Long-term,Asian,NOTICE,MAIL,11-50,Standard,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
41,1299.25,1,3383247,21,21,7,9857,3055,Mid-term,English,NOTICE,WEB,101-500,Standard,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
42,0,0,922924.8,15,15,2,12079,3739,Mid-term,English,NOTICE,MAIL,11-50,Premier,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
43,448.0533333,1,138448.48,3,3,1,7292,5513,Mid-term,English,NOTICE,WEB,1-5,Standard,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
44,283.1190476,1,143824.4762,4,4,0,10008,2550,Mid-term,English,NOTICE,MAIL,6-10,Premier,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
45,0,0,1118455,15,15,2,13722,3275,Mid-term,English,NOTICE,MAIL,51-100,Standard,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
46,125.7706667,1,168910.0053,17,17,1,16539,1917,Long-term,Unknown,AUTO RENEW,AUTO RENEW,1-5,Premier,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
47,195.5942857,1,404880.1714,24,15,1,9813,2005,Mid-term,English,AUTO RENEW,AUTO RENEW,6-10,Standard,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
48,0,0,70817.24,30,30,1,13661,2020,Mid-term,English,AUTO RENEW,WEB,1-5,Standard,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
49,357.6571429,1,572966.7429,18,18,1,9752,3490,Mid-term,English,NOTICE,WEB,6-10,Premier,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
50,0,0,173556.24,18,18,1,11425,1298,Mid-term,English,AUTO RENEW,WEB,6-10,Premier,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
51,179.5809524,1,20831.39048,4,4,1,9902,2213,Mid-term,English,NOTICE,MAIL,6-10,Premier,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
52,375.8114286,1,876016.44,21,21,1,9735,2998,Mid-term,English,AUTO RENEW,AUTO RENEW,6-10,Standard,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
53,170.4761905,1,26253.33333,14,14,1,18532,2148,Long-term,English,NOTICE,MAIL,6-10,Premier,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
54,0,0,1520057.76,30,30,2,15565,2677,Long-term,English,AUTO RENEW,WEB,11-50,Standard,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
55,0,0,344148.48,18,18,1,15930,2286,Long-term,English,NOTICE,WEB,1-5,Standard,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
56,0,0,289807.5429,12,12,1,13770,2445,Mid-term,English,NOTICE,WEB,6-10,Standard,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
57,409.76,1,86049.6,21,21,1,16783,3024,Long-term,English,NOTICE,WEB,11-50,Premier,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
58,0,0,24411.33333,5,5,1,11653,1641,Mid-term,Unknown,NOTICE,WEB,101-500,Premier,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
59,0,0,95870,6,6,1,9431,2235,Mid-term,English,NOTICE,BRANCH (PHONE),11-50,Premier,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
60,0,0,130069.3333,20,20,1,12323,2719,Mid-term,English,AUTO RENEW,AUTO RENEW,6-10,Premier,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
61,0,0,459523.68,18,18,1,12674,2624,Mid-term,English,NOTICE,MAIL,11-50,Premier,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
62,621.8,1,790929.6,24,24,1,17071,2200,Long-term,English,NOTICE,MAIL,101-500,Standard,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
63,0,0,142550.819,13,13,1,2766,2409,Short-term,English,NOTICE,MAIL,6-10,Standard,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
64,0,0,231278.4,9,9,1,11288,3119,Mid-term,English,NOTICE,MAIL,1-5,Standard,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
65,0,0,238402.56,17,17,2,11043,2048,Mid-term,English,NOTICE,WEB,11-50,Premier,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
66,159.904,1,240495.616,16,16,3,10678,2291,Mid-term,English,NOTICE,MAIL,1-5,Premier,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
67,321.5333333,1,360760.4,11,11,1,10434,2193,Mid-term,English,AUTO RENEW,AUTO RENEW,11-50,Standard,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
68,0,0,291845.5467,22,22,1,10647,2470,Mid-term,English,NOTICE,MAIL,1-5,Premier,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
69,689.4666667,1,2275240,22,22,1,1684,2338,Short-term,English,AUTO RENEW,AUTO RENEW,101-500,Standard,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
70,180.9142857,1,290367.4286,15,15,1,17634,2223,Long-term,English,NOTICE,MAIL,6-10,Premier,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
71,0,0,486963.36,18,18,2,14057,3865,Mid-term,English,AUTO RENEW,AUTO RENEW,51-100,Premier,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
72,0,0,1561308.403,21,21,2,10756,4362,Mid-term,English,AUTO RENEW,AUTO RENEW,11-50,Premier,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
73,211.1333333,1,452247.6,17,17,3,13722,3088,Mid-term,English,NOTICE,MAIL,1-5,Premier,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
74,327.2380952,1,36650.66667,8,8,1,5020,2803,Short-term,English,NOTICE,WEB,6-10,Premier,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
75,261.9238095,1,766389.0667,22,22,2,9994,2804,Mid-term,English,NOTICE,PHONE,6-10,Premier,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
76,0,0,1203408,20,20,1,13175,3451,Mid-term,English,NOTICE,MAIL,11-50,Premier,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
77,0,0,244613.6,19,19,1,11288,2314,Mid-term,English,NOTICE,MAIL,1-5,Standard,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
78,643.4566667,1,1415604.667,20,20,2,9902,2953,Mid-term,English,AUTO RENEW,AUTO RENEW,51-100,Premier,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
79,0,0,542792,8,8,0,10953,2876,Mid-term,Unknown,NOTICE,MAIL,51-100,Standard,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
80,235.8666667,1,96233.6,17,17,1,14605,2617,Long-term,English,NOTICE,MAIL,6-10,Premier,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
81,0,0,2683729.417,19,19,0,10786,3089,Mid-term,English,NOTICE,MAIL,101-500,Premier,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
82,0,0,483258.5143,8,8,1,9234,4110,Mid-term,English,NOTICE,WEB,6-10,Premier,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
83,0,0,409633.7143,18,18,1,13770,2067,Mid-term,English,NOTICE,MAIL,6-10,Standard,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
84,0,0,1760491.2,24,24,1,13175,2614,Mid-term,English,NOTICE,MAIL,101-500,Premier,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
85,0,0,141313.219,5,5,1,9172,3361,Mid-term,English,AUTO RENEW,AUTO RENEW,6-10,Standard,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
86,297.6761905,1,253322.4381,23,23,1,14712,3060,Long-term,English,NOTICE,MAIL,6-10,Premier,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
87,0,0,106833.28,6,6,1,11104,3234,Mid-term,English,NOTICE,WEB,1-5,Premier,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
88,0,0,101160.2176,8,8,2,8778,2856,Mid-term,English,AUTO RENEW,AUTO RENEW,1-5,Premier,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
89,188.1142857,1,485334.8571,20,20,1,16661,2275,Long-term,English,NOTICE,MAIL,6-10,Standard,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
90,0,0,1223666.88,19,19,2,9172,3561,Mid-term,English,NOTICE,MAIL,6-10,Standard,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
91,0,0,817190.88,22,22,1,9065,3063,Mid-term,European,NOTICE,MAIL,11-50,Standard,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
92,0,0,563805.1467,22,22,2,15108,2761,Long-term,English,AUTO RENEW,AUTO RENEW,6-10,Premier,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
93,0,0,3305316.8,12,12,1,10404,2985,Mid-term,English,NOTICE,MAIL,500+,Premier,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
94,0,0,544643.7333,20,20,1,10647,3122,Mid-term,English,NOTICE,MAIL,1-5,Standard,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
95,265.8166667,1,50505.16667,5,5,0,11773,3104,Mid-term,Unknown,NOTICE,MAIL,1-5,Standard,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
96,0,0,253409.9333,22,22,1,11957,3701,Mid-term,English,NOTICE,MAIL,51-100,Standard,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
97,0,0,493349.6,24,24,2,5009,2718,Short-term,English,NOTICE,MAIL,51-100,Premier,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
98,218.14,1,317611.84,14,14,1,10100,2644,Mid-term,English,AUTO RENEW,WEB,1-5,Premier,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
99,0,0,230601.6,20,20,1,11578,2084,Mid-term,English,NOTICE,MAIL,11-50,Premier,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
100,0,0,182160,12,12,1,10831,2904,Mid-term,English,NOTICE,MAIL,6-10,Standard,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
101,0,0,477741.3333,20,20,1,9217,2808,Mid-term,English,NOTICE,MAIL,6-10,Premier,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
102,272.5714286,1,372060,13,13,1,7484,2880,Mid-term,English,NOTICE,MAIL,6-10,Standard,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
103,0,0,62081.36,22,22,1,12824,2447,Mid-term,English,NOTICE,WEB,1-5,Premier,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
104,0,0,246031.9086,20,20,3,5770,2211,Short-term,English,AUTO RENEW,AUTO RENEW,6-10,Standard,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
105,0,0,64707.41333,13,13,1,24877,3608,Long-term,English,NOTICE,MAIL,1-5,Premier,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
106,341.5657143,1,145848.56,7,7,1,6064,2809,Short-term,English,AUTO RENEW,AUTO RENEW,6-10,Premier,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
107,256.152381,1,369884.0381,19,19,2,17892,2762,Long-term,English,NOTICE,MAIL,6-10,Standard,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
108,0,0,236688.48,14,14,2,12156,1995,Mid-term,English,NOTICE,MAIL,11-50,Premier,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
109,0,0,186198.48,9,9,1,11074,3928,Mid-term,English,AUTO RENEW,PHONE,6-10,Standard,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
110,372.7013333,1,798326.256,21,21,1,18609,2394,Long-term,English,AUTO RENEW,AUTO RENEW,11-50,Premier,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
111,0,0,915618.3771,20,20,2,2463,3117,Short-term,English,AUTO RENEW,PHONE,6-10,Standard,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
112,0,0,442626.8,15,15,1,3767,2888,Short-term,English,NOTICE,MAIL,11-50,Premier,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
113,0,0,708728.0571,17,17,1,10039,3480,Mid-term,English,NOTICE,MAIL,6-10,Premier,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
114,0,0,766021.9543,13,13,1,11196,3151,Mid-term,English,AUTO RENEW,WEB,6-10,Standard,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
115,0,0,2301309.267,17,17,1,12065,4526,Mid-term,English,NOTICE,MAIL,101-500,Premier,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
116,580.6666667,1,1097460,21,21,1,14702,3213,Long-term,English,AUTO RENEW,PHONE,11-50,Premier,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
117,0,0,878075.5,17,17,1,11592,3153,Mid-term,English,NOTICE,MAIL,51-100,Premier,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
118,0,0,30805.86667,2,2,1,6158,2360,Short-term,English,NOTICE,AUTO RENEW,101-500,Standard,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
119,0,0,800891,13,13,0,3643,3329,Short-term,English,NOTICE,MAIL,6-10,Standard,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
120,177.1619048,1,66967.2,18,18,1,16753,2196,Long-term,English,NOTICE,WEB,6-10,Standard,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
121,0,0,106229.76,8,8,0,3956,3541,Short-term,Unknown,AUTO RENEW,AUTO RENEW,11-50,Standard,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
122,427.024,1,1067560,20,20,2,9843,2888,Mid-term,English,AUTO RENEW,AUTO RENEW,6-10,Standard,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
123,0,0,819910,21,21,1,12869,4001,Mid-term,English,NOTICE,MAIL,6-10,Standard,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
124,0,0,616314.4,19,19,1,10647,2204,Mid-term,English,NOTICE,MAIL,11-50,Premier,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
125,0,0,67689.6,22,22,1,4119,2239,Short-term,English,NOTICE,MAIL,1-5,Standard,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
126,567.5619048,1,237240.8762,19,19,2,21027,4994,Long-term,English,NOTICE,MAIL,6-10,Standard,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
127,0,0,504252.84,21,21,1,8700,2476,Mid-term,English,AUTO RENEW,AUTO RENEW,1-5,Standard,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
